file_name,coco_image_id,split,source_url,license_id,license_name,redistributable,view_guess,bytes,status
coco_122199.jpg,122199,train2017,http://farm5.staticflickr.com/4019/4516699760_1a0a10d7e0_b.jpg,4,CC BY 2.0,yes,side,165736,ok
coco_189365.jpg,189365,train2017,http://farm4.staticflickr.com/3793/8994760710_f6aafcd2a8_b.jpg,4,CC BY 2.0,yes,side,108196,ok
coco_333626.jpg,333626,train2017,http://farm9.staticflickr.com/8466/8446859962_16e2688c10_b.jpg,4,CC BY 2.0,yes,side,246440,ok
coco_184805.jpg,184805,train2017,http://farm4.staticflickr.com/3035/2906752642_4533f25e9a_b.jpg,5,CC BY-SA 2.0,yes,side,171885,ok
coco_403677.jpg,403677,train2017,http://farm4.staticflickr.com/3033/2905904279_7ceed56ec6_b.jpg,5,CC BY-SA 2.0,yes,side,178823,ok
coco_182620.jpg,182620,train2017,http://farm5.staticflickr.com/4045/4652647560_de15bc4e86_b.jpg,5,CC BY-SA 2.0,yes,side,155291,ok
coco_575601.jpg,575601,train2017,http://farm5.staticflickr.com/4092/5070993700_f86cb08a13_b.jpg,4,CC BY 2.0,yes,side,248432,ok
coco_475313.jpg,475313,train2017,http://farm5.staticflickr.com/4096/4821644772_82763982f8_b.jpg,4,CC BY 2.0,yes,side,118565,ok
coco_320480.jpg,320480,train2017,http://farm7.staticflickr.com/6214/7021988793_d562f3cd39_b.jpg,4,CC BY 2.0,yes,side,137383,ok
coco_396820.jpg,396820,train2017,http://farm1.staticflickr.com/148/351466274_8d7174e11b_b.jpg,5,CC BY-SA 2.0,yes,side,204142,ok
coco_89298.jpg,89298,train2017,http://farm1.staticflickr.com/53/129782546_b80cb9db75_b.jpg,4,CC BY 2.0,yes,side,350401,ok
coco_371513.jpg,371513,train2017,http://images.cocodataset.org/train2017/000000371513.jpg,4,CC BY 2.0,yes,side,97260,ok
coco_551481.jpg,551481,train2017,http://images.cocodataset.org/train2017/000000551481.jpg,4,CC BY 2.0,yes,side,228710,ok
coco_371529.jpg,371529,val2017,http://farm3.staticflickr.com/2689/4352374320_c024d09e1a_b.jpg,4,CC BY 2.0,yes,side,242788,ok
coco_185730.jpg,185730,train2017,http://farm8.staticflickr.com/7116/7827093220_9f0c2d3642_b.jpg,5,CC BY-SA 2.0,yes,side,168883,ok
coco_346089.jpg,346089,train2017,http://farm9.staticflickr.com/8472/8081545644_d35f808404_b.jpg,4,CC BY 2.0,yes,side,112197,ok
coco_178598.jpg,178598,train2017,http://images.cocodataset.org/train2017/000000178598.jpg,4,CC BY 2.0,yes,side,101524,ok
coco_493888.jpg,493888,train2017,(cached),4,CC BY 2.0,yes,side,158744,ok
coco_524167.jpg,524167,train2017,(cached),4,CC BY 2.0,yes,side,122571,ok
coco_418736.jpg,418736,train2017,http://images.cocodataset.org/train2017/000000418736.jpg,5,CC BY-SA 2.0,yes,side,88916,ok
coco_378894.jpg,378894,train2017,http://farm3.staticflickr.com/2341/2521169343_2ea809a97c_b.jpg,4,CC BY 2.0,yes,side,171616,ok
coco_80937.jpg,80937,train2017,(cached),5,CC BY-SA 2.0,yes,side,349266,ok
coco_66241.jpg,66241,train2017,http://farm1.staticflickr.com/54/125088649_a197bb8335_b.jpg,5,CC BY-SA 2.0,yes,side,162257,ok
coco_280839.jpg,280839,train2017,(cached),4,CC BY 2.0,yes,side,266627,ok
coco_146208.jpg,146208,train2017,http://images.cocodataset.org/train2017/000000146208.jpg,4,CC BY 2.0,yes,side,163251,ok
coco_245367.jpg,245367,train2017,http://farm6.staticflickr.com/5192/5825141854_2b47f52fb5_b.jpg,5,CC BY-SA 2.0,yes,side,140420,ok
coco_578171.jpg,578171,train2017,http://farm9.staticflickr.com/8525/8668583792_bb3223c35e_b.jpg,4,CC BY 2.0,yes,side,158342,ok
coco_306456.jpg,306456,train2017,http://farm9.staticflickr.com/8256/8638572667_f6c75a04fb_b.jpg,5,CC BY-SA 2.0,yes,side,217799,ok
coco_408219.jpg,408219,train2017,http://farm4.staticflickr.com/3231/3154510466_85f07b485d_b.jpg,5,CC BY-SA 2.0,yes,side,205274,ok
coco_434986.jpg,434986,train2017,http://farm4.staticflickr.com/3182/2678704398_e63a8f7e26_b.jpg,4,CC BY 2.0,yes,side,164924,ok
